epoch,train_mse,val_mse
1,0.07548189237713814,0.03974118456244469
2,0.027323647513985635,0.04046124964952469
3,0.020812043473124504,0.03560006245970726
4,0.016182196661829948,0.03366473317146301
5,0.013540970869362354,0.025837358087301254
6,0.012342499047517776,0.03259909898042679
7,0.011310766078531742,0.021676983684301376
8,0.0090277985855937,0.0261564739048481
9,0.008122665584087372,0.022496981546282768
10,0.007950398065149784,0.024479860439896584
11,0.007435369398444891,0.022094709798693657
12,0.006577308010309935,0.02395451068878174
13,0.005927130840718746,0.02410648949444294
14,0.006169274915009737,0.019850216805934906
15,0.006430584508925676,0.023097125813364983
16,0.005663583185523748,0.025613492354750633
17,0.0048482744675129655,0.021316394209861755
18,0.004767198842018843,0.022146331146359444
19,0.004380892813205719,0.028213096782565117
20,0.00418021178804338,0.020932134240865707
21,0.0043016249500215055,0.025839919224381447
22,0.004035668978467584,0.021511130034923553
23,0.004334483789280057,0.020171955227851868
24,0.0038014370761811733,0.01998978666961193
25,0.0037181772198528053,0.022406311705708504
26,0.003474425571039319,0.019670777022838593
27,0.003189086467027664,0.021011456847190857
28,0.0035361907538026573,0.024273790419101715
29,0.003317804429680109,0.021457526832818985
30,0.0034361461084336043,0.01957324892282486
31,0.0030342979077249764,0.02215702086687088
32,0.0030507341399788855,0.020403508096933365
33,0.002869390491396189,0.020886586979031563
34,0.003071439815685153,0.01689048483967781
35,0.0029547761287540197,0.02216399647295475
36,0.0027086119912564754,0.024295702576637268
37,0.002870466480962932,0.020411329343914986
38,0.0022610245272517205,0.020501377061009407
39,0.0023937083454802634,0.01911999098956585
40,0.002730346694588661,0.019516585394740105
41,0.0026607208233326673,0.019288891926407814
42,0.0024405754497274757,0.0166226364672184
43,0.0026266070455312727,0.019132550805807114
44,0.002277572974562645,0.020222093909978867
45,0.002219540518708527,0.02247372269630432
46,0.002073299405165017,0.021844541653990746
47,0.0021871861256659033,0.019863592460751534
48,0.0023446073895320298,0.022888515144586563
49,0.002190939700230956,0.019853144884109497
50,0.0019521091971546412,0.01959914341568947
51,0.0020925667881965637,0.01770801469683647
52,0.0018488355912268163,0.020196881145238876
53,0.0019363609608262777,0.02019656077027321
54,0.0027241772320121525,0.02340739034116268
55,0.002529063066467643,0.022430788725614548
56,0.0023849800880998374,0.020595338195562363
57,0.0018840346531942486,0.018574288114905357
58,0.0017248452873900532,0.018582655116915703
59,0.0020436162268742918,0.020798692479729652
60,0.002006587195210159,0.021721182391047478
61,0.0017815515911206604,0.018666597083210945
62,0.0019333563838154078,0.020411666482686996
63,0.0016107917483896017,0.020050544291734695
64,0.001489992446731776,0.017312822863459587
65,0.0014515233365818858,0.019375402480363846
66,0.0016377951530739665,0.020594056695699692
67,0.001979499193839729,0.0222318097949028
68,0.0015970587963238358,0.0215581227093935
69,0.0014682330400682985,0.019398964941501617
70,0.0014369958522729577,0.020278530195355415
71,0.0014330554567277432,0.0177384652197361
72,0.001449361708946526,0.019619153812527657
73,0.001591792036779225,0.021026382222771645
74,0.001478034178726375,0.018212223425507545
75,0.0015492819901555778,0.01995822973549366
76,0.0014131160406395792,0.018697112798690796
77,0.0014556902716867626,0.020580310374498367
78,0.00130438725464046,0.020725563168525696
79,0.0012520838668569922,0.019597455859184265
80,0.0014490496320649982,0.020353851839900017
